sid,order,order_wording,order_certainty,order_recall,comments,after1,after2,after3,after4,after5,after6,,,Kodierung order,,,,,
1,1,Reihenfolge,0.85,2165254531,Nutzte eigene Finger als Gedankenstütze,6,1,5,5,2,5,,,0=,no order,,,,
2,1,sie folgte einer Reihenfolge,0.95,162534,"""von außen nach innen""",6,5,4,2,1,1,,,1= ,order,,,,
3,2,"ab und zu, aber nicht immer",0.7,253146,,4,5,1,6,3,2,,,2= ,sometimes,,,,
4,2,"Reihenfolge (einmal mit, einmal ohne)",0.99,632541,,6,5,2,3,4,3,,,,,,,,
5,2,Reihenfolge (bei einem Durchgang),1,564132,,3,5,2,6,1,5,,,,,,,,
6,2,Reihenfolge (bei jedem 2. Durchgang),1,132546,oder 312546,3,5,2,6,4,1,,,,,,,,
7,1,Reihenfolge,1,326451,,3,6,2,5,1,3,,,,,,,,
8,,,,,Daten sollten nicht gewertet werden,-,-,-,-,-,-,,,,,,,,
9,2,ab und zu,0.6,361425,Wollte sich bei Frage 4 nicht zwischen den beiden Zahlen entscheiden,4.6,5.4,4.6,3.1,2.1,2.3,,,,,,,,
10,0,"Nein, manchmal vielleicht aber eher nein",0.3,126453,,2,6,5,5,3,4,,,,,,,,
11,2,bei jeder Runde mit gerader zahl Reihenfolge. Bei ungeraden eher nein,1,436251,,4,5,6,3,1,2,,,,,,,,
12,1,bei ungeraden mit Reihenfolge,1,615423,,5,3,6,2,4,5,,,,,,,,
13,2,"bei jedem 2. bis 3. Durchgang, am Ende öfter",1,136245,,3,4,6,5,1,2,,,,,,,,
14,1,bei jedem 2. Durchgang,1,541623,,6,3,5,1,4,2,,,,,,,,
15,0,,0.75,-,,-,-,-,-,-,-,,,,,,,,
16,2,"seöten, in ungefähr 20% der Fälle",0.6,321,52,6,3,1,1,6,1,,,,,,,,
17,2,manchmal,0.7,246531,,6,4,1,6,3,1,,,,,,,,
18,1,"Möglicherweise, eher ja, konnte irgendwann vorhersagen",0.8,253614,"Benannte die Reihenfolge als springend, erst die inneren zusammen, dann die äußeren",4,5,2,1,3,2,,,,,,,,
19,1,Reihenfolge wurde instruiert,1,254631,,2,5,1,6,4,3,,,,,,,,
20,0,keine Reihenfolge,0.75,252516,,5,5,6,2,1,2,,,,,,,,
21,,,,,Abbruch. Kein Interview wurde durchgeführt,-,-,-,-,-,-,,,,,,,,
22,2,bei ungefähr der Hälfte,100%,24613,,5,4,6,1,2,1,,,,,,,,
23,2,Reihenfolge ab und zu,75%,126534,,2,6,4,5,3,4,,,,,,,,
24,2,bei manchen Durchgängen Reihenfolge,98%,436,,6,5,4,2,1,3,,,,,,,,
25,2,später bei der Hälfte der Durchgänge ,90%,126435,,2,6,5,3,1,4,,,,,,,,
26,,,,,Abbruch. Kein Interview wurde durchgeführt,-,-,-,-,-,-,,,,,,,,
27,0,,0.6,365124,,2,4,6,-,1,5,,,,,,,,
28,1,,1,145263,,4,6,1,5,2,3,,,,,,,,
29,1,,"0,6 - 0,65",256143,,2,5,1,3,6,3,,,,,,,,
30,0,,0.65,-,,-,6,5,-,3,-,,,,,,,,
31,0,,0.6,1256,,2,5,-,1,-,5,,,,,,,,
33,2,Reihenfolge nicht alle Tasten betreffend,0.75,652,13,6,3,6 oder 5,6 oder 5,1,5,,,,,,,,
34,,,,,Abbruch. Kein Interview wurde durchgeführt,-,-,-,-,-,-,,,,,,,,
35,0,Nein,0.6,162534,,6,5,4,1,3,2,,,,,,,,
36,2,gegen Ende (ab Block 12),80%,246243,,5,4,,2,1,2,,,,,,,,
37,2,,0.9,164235,,6,3,5,2,1,4,,,,,,,,
38,2,Gegen Ende ist ungefähr 4 Mal eine Reihenfolge aufgefallen,1,614523,,4,3,6 oder 4,5,6,1,,,,,,,,
39,2,teilweise Reihenfolge in geradem oder ungeradem Block,100%,615423,,5,3,6,2,4,1,,,,,,,,
40,2,,100%,654132,,3,6,5,3,1,2,,,,,,,,
41,2,,60%,-,,-,-,-,-,-,-,,,,,,,,
42,2,,100%,165431,,6,1,2,2,3,4,,,,,,,,
43,2,"wurde am Anfang geschrieben, dass es eine Reihenfolge gib",100%,53,,-,-,-,-,-,-,,,,,,,,
45,0,,60%,-,häufiger Zahlen 4-5,5,4,1,6,2,3,,,,,,,,
46,1,"wurde am Anfang geschrieben, dass es eine Reihenfolge gib",100%,126354,,2,6,5,1,4,3,,,,,,,,
47,0,,40%,5432,eher von rechts nach links,3,-,2,3,4,1,,,,,,,,
48,1,,100%,125634,,2,6,5,3,4,1,,,,,,,,
49,1,,70%,61,,3,5,6,6,2,1,,,,,,,,
50,0,"wurde am Anfang geschrieben, dass es eine Reihenfolge gib",65%,651432,nur im letzten Block,6,3,6,2,1,5,,,,,,,,
51,1,,100%,125634,,2,5,4,1,6,1,,,,,,,,
52,1,zwe verschiedene Muster abwechselnd,100%,312465,,2,4,1,6,3,5,Zweite Rheienfolge:,315462,5,3,1,6,4,2
53,0,,70%,-,,3,5,6,1,4,1,,,,,,,,
54,0,,75%,126534,,2,6,4,1,3,5,,,,,,,,
55,0,jeder Abschnitt hatte eine neue Rheienfolge,60%,-,,-,-,-,-,-,-,,,,,,,,
56,0,,60%,162534,,6,5,4,1,3,2,,,,,,,,
57,1,,70%,132465,,3,4,2,6,1,5,,,,,,,,
58,1,,100%,316254,,6,5,1,3,4,2,,,,,,,,
59,0,,80%,342416,,6,5,4,2,1,3,,,,,,,,
60,0,,100%,,,-,-,-,-,-,-,,,,,,,,
61,1,,100%,536215,,6,5,2,3,3,1,,,,,,,,
62,2,"keine komplette Reihenfolge, nur einzelne Kombinationen",90%,631 dann nochmal 31,,3,4,1,6,4,2,,,,,,,,
63,1,,99%,651324,,3,4,2,6,1,5,,,,,,,,
64,0,"eigentlich keine Reihenfolge, hin und wieder Kombinationen, die sich wiederholt haben",50%,1643 und 1652,,6,5,4,-,2 oder 3,1,,,,,,,,
65,1,jedes 2. bis 3. Mal,100%,162534,,6,5,4,1,2,1,,,,,,,,
66,1,Jedes 2. Mal,100%,213564,,3,1,5,2,6,4,,,,,,,,
67,0,,80%,,,-,-,-,-,-,-,,,,,,,,
68,1,,100%,213456,,3,1,4,5,6,2,,,,,,,,
69,2,alle 3 bis 4 Mal,70%,"12345, dann 1 oder 2",,2,3,4,5,1 oder 2,1,,,,,,,,
