"sid","material","instructions","material_order","tid","block_scheme","stimulus_location","pos_x","response_deadline"
111,"mixed deterministic","sequence revealed","regular first",1,"regular",6,360,0.9
111,"mixed deterministic","sequence revealed","regular first",2,"regular",5,216,0.9
111,"mixed deterministic","sequence revealed","regular first",3,"regular",1,-360,0.9
111,"mixed deterministic","sequence revealed","regular first",4,"regular",3,-72,0.9
111,"mixed deterministic","sequence revealed","regular first",5,"regular",2,-216,0.9
111,"mixed deterministic","sequence revealed","regular first",6,"regular",4,72,0.9
111,"mixed deterministic","sequence revealed","regular first",7,"regular",6,360,0.9
111,"mixed deterministic","sequence revealed","regular first",8,"regular",5,216,0.9
111,"mixed deterministic","sequence revealed","regular first",9,"regular",1,-360,0.9
111,"mixed deterministic","sequence revealed","regular first",10,"regular",3,-72,0.9
111,"mixed deterministic","sequence revealed","regular first",11,"regular",2,-216,0.9
111,"mixed deterministic","sequence revealed","regular first",12,"regular",4,72,0.9
111,"mixed deterministic","sequence revealed","regular first",13,"regular",6,360,0.9
111,"mixed deterministic","sequence revealed","regular first",14,"regular",5,216,0.9
111,"mixed deterministic","sequence revealed","regular first",15,"regular",1,-360,0.9
111,"mixed deterministic","sequence revealed","regular first",16,"regular",3,-72,0.9
111,"mixed deterministic","sequence revealed","regular first",17,"regular",2,-216,0.9
111,"mixed deterministic","sequence revealed","regular first",18,"regular",4,72,0.9
111,"mixed deterministic","sequence revealed","regular first",19,"regular",6,360,0.9
111,"mixed deterministic","sequence revealed","regular first",20,"regular",5,216,0.9
111,"mixed deterministic","sequence revealed","regular first",21,"regular",1,-360,0.9
111,"mixed deterministic","sequence revealed","regular first",22,"regular",3,-72,0.9
111,"mixed deterministic","sequence revealed","regular first",23,"regular",2,-216,0.9
111,"mixed deterministic","sequence revealed","regular first",24,"regular",4,72,0.9
111,"mixed deterministic","sequence revealed","regular first",25,"regular",6,360,0.8
111,"mixed deterministic","sequence revealed","regular first",26,"regular",5,216,0.8
111,"mixed deterministic","sequence revealed","regular first",27,"regular",1,-360,0.8
111,"mixed deterministic","sequence revealed","regular first",28,"regular",3,-72,0.8
111,"mixed deterministic","sequence revealed","regular first",29,"regular",2,-216,0.8
111,"mixed deterministic","sequence revealed","regular first",30,"regular",4,72,0.8
111,"mixed deterministic","sequence revealed","regular first",31,"regular",6,360,0.8
111,"mixed deterministic","sequence revealed","regular first",32,"regular",5,216,0.8
111,"mixed deterministic","sequence revealed","regular first",33,"regular",1,-360,0.8
111,"mixed deterministic","sequence revealed","regular first",34,"regular",3,-72,0.8
111,"mixed deterministic","sequence revealed","regular first",35,"regular",2,-216,0.8
111,"mixed deterministic","sequence revealed","regular first",36,"regular",4,72,0.8
111,"mixed deterministic","sequence revealed","regular first",37,"regular",6,360,0.8
111,"mixed deterministic","sequence revealed","regular first",38,"regular",5,216,0.8
111,"mixed deterministic","sequence revealed","regular first",39,"regular",1,-360,0.8
111,"mixed deterministic","sequence revealed","regular first",40,"regular",3,-72,0.8
111,"mixed deterministic","sequence revealed","regular first",41,"regular",2,-216,0.8
111,"mixed deterministic","sequence revealed","regular first",42,"regular",4,72,0.8
111,"mixed deterministic","sequence revealed","regular first",43,"regular",6,360,0.8
111,"mixed deterministic","sequence revealed","regular first",44,"regular",5,216,0.8
111,"mixed deterministic","sequence revealed","regular first",45,"regular",1,-360,0.8
111,"mixed deterministic","sequence revealed","regular first",46,"regular",3,-72,0.8
111,"mixed deterministic","sequence revealed","regular first",47,"regular",2,-216,0.8
111,"mixed deterministic","sequence revealed","regular first",48,"regular",4,72,0.8
111,"mixed deterministic","sequence revealed","regular first",49,"regular",6,360,0.7
111,"mixed deterministic","sequence revealed","regular first",50,"regular",5,216,0.7
111,"mixed deterministic","sequence revealed","regular first",51,"regular",1,-360,0.7
111,"mixed deterministic","sequence revealed","regular first",52,"regular",3,-72,0.7
111,"mixed deterministic","sequence revealed","regular first",53,"regular",2,-216,0.7
111,"mixed deterministic","sequence revealed","regular first",54,"regular",4,72,0.7
