"sid","material","instructions","material_order","tid","block_scheme","stimulus_location","pos_x","response_deadline"
15,"probabilistic","sequence concealed","regular first",1,"regular",3,-72,0.9
15,"probabilistic","sequence concealed","regular first",2,"regular",1,-360,0.9
15,"probabilistic","sequence concealed","regular first",3,"regular",2,-216,0.9
15,"probabilistic","sequence concealed","regular first",4,"regular",5,216,0.9
15,"probabilistic","sequence concealed","regular first",5,"regular",6,360,0.9
15,"probabilistic","sequence concealed","regular first",6,"regular",4,72,0.9
15,"probabilistic","sequence concealed","regular first",7,"regular",3,-72,0.9
15,"probabilistic","sequence concealed","regular first",8,"regular",4,72,0.9
15,"probabilistic","sequence concealed","regular first",9,"regular",3,-72,0.9
15,"probabilistic","sequence concealed","regular first",10,"regular",1,-360,0.9
15,"probabilistic","sequence concealed","regular first",11,"regular",2,-216,0.9
15,"probabilistic","sequence concealed","regular first",12,"regular",6,360,0.9
15,"probabilistic","sequence concealed","regular first",13,"regular",4,72,0.9
15,"probabilistic","sequence concealed","regular first",14,"regular",3,-72,0.9
15,"probabilistic","sequence concealed","regular first",15,"regular",1,-360,0.9
15,"probabilistic","sequence concealed","regular first",16,"regular",6,360,0.9
15,"probabilistic","sequence concealed","regular first",17,"regular",1,-360,0.9
15,"probabilistic","sequence concealed","regular first",18,"regular",5,216,0.9
15,"probabilistic","sequence concealed","regular first",19,"regular",6,360,0.9
15,"probabilistic","sequence concealed","regular first",20,"regular",2,-216,0.9
15,"probabilistic","sequence concealed","regular first",21,"regular",5,216,0.9
15,"probabilistic","sequence concealed","regular first",22,"regular",2,-216,0.9
15,"probabilistic","sequence concealed","regular first",23,"regular",5,216,0.9
15,"probabilistic","sequence concealed","regular first",24,"regular",3,-72,0.9
15,"probabilistic","sequence concealed","regular first",25,"regular",1,-360,0.8
15,"probabilistic","sequence concealed","regular first",26,"regular",2,-216,0.8
15,"probabilistic","sequence concealed","regular first",27,"regular",5,216,0.8
15,"probabilistic","sequence concealed","regular first",28,"regular",4,72,0.8
15,"probabilistic","sequence concealed","regular first",29,"regular",3,-72,0.8
15,"probabilistic","sequence concealed","regular first",30,"regular",1,-360,0.8
