"sid","material","instructions","material_order","tid","block_scheme","stimulus_location","pos_x","response_deadline"
58,"mixed deterministic","sequence revealed","random first",1,"random",4,72,0.9
58,"mixed deterministic","sequence revealed","random first",2,"random",3,-72,0.9
58,"mixed deterministic","sequence revealed","random first",3,"random",2,-216,0.9
58,"mixed deterministic","sequence revealed","random first",4,"random",6,360,0.9
58,"mixed deterministic","sequence revealed","random first",5,"random",3,-72,0.9
58,"mixed deterministic","sequence revealed","random first",6,"random",2,-216,0.9
58,"mixed deterministic","sequence revealed","random first",7,"random",3,-72,0.9
58,"mixed deterministic","sequence revealed","random first",8,"random",4,72,0.9
58,"mixed deterministic","sequence revealed","random first",9,"random",1,-360,0.9
58,"mixed deterministic","sequence revealed","random first",10,"random",3,-72,0.9
58,"mixed deterministic","sequence revealed","random first",11,"random",5,216,0.9
58,"mixed deterministic","sequence revealed","random first",12,"random",6,360,0.9
58,"mixed deterministic","sequence revealed","random first",13,"random",3,-72,0.9
58,"mixed deterministic","sequence revealed","random first",14,"random",6,360,0.9
58,"mixed deterministic","sequence revealed","random first",15,"random",1,-360,0.9
58,"mixed deterministic","sequence revealed","random first",16,"random",5,216,0.9
58,"mixed deterministic","sequence revealed","random first",17,"random",1,-360,0.9
58,"mixed deterministic","sequence revealed","random first",18,"random",5,216,0.9
58,"mixed deterministic","sequence revealed","random first",19,"random",2,-216,0.9
58,"mixed deterministic","sequence revealed","random first",20,"random",4,72,0.9
58,"mixed deterministic","sequence revealed","random first",21,"random",6,360,0.9
58,"mixed deterministic","sequence revealed","random first",22,"random",1,-360,0.9
58,"mixed deterministic","sequence revealed","random first",23,"random",6,360,0.9
58,"mixed deterministic","sequence revealed","random first",24,"random",5,216,0.9
58,"mixed deterministic","sequence revealed","random first",25,"random",1,-360,0.8
58,"mixed deterministic","sequence revealed","random first",26,"random",6,360,0.8
58,"mixed deterministic","sequence revealed","random first",27,"random",4,72,0.8
58,"mixed deterministic","sequence revealed","random first",28,"random",6,360,0.8
58,"mixed deterministic","sequence revealed","random first",29,"random",3,-72,0.8
58,"mixed deterministic","sequence revealed","random first",30,"random",2,-216,0.8
58,"mixed deterministic","sequence revealed","random first",31,"random",5,216,0.8
58,"mixed deterministic","sequence revealed","random first",32,"random",2,-216,0.8
58,"mixed deterministic","sequence revealed","random first",33,"random",5,216,0.8
58,"mixed deterministic","sequence revealed","random first",34,"random",1,-360,0.8
58,"mixed deterministic","sequence revealed","random first",35,"random",4,72,0.8
58,"mixed deterministic","sequence revealed","random first",36,"random",1,-360,0.8
58,"mixed deterministic","sequence revealed","random first",37,"random",5,216,0.8
58,"mixed deterministic","sequence revealed","random first",38,"random",1,-360,0.8
58,"mixed deterministic","sequence revealed","random first",39,"random",4,72,0.8
58,"mixed deterministic","sequence revealed","random first",40,"random",5,216,0.8
58,"mixed deterministic","sequence revealed","random first",41,"random",4,72,0.8
58,"mixed deterministic","sequence revealed","random first",42,"random",6,360,0.8
58,"mixed deterministic","sequence revealed","random first",43,"random",5,216,0.8
58,"mixed deterministic","sequence revealed","random first",44,"random",4,72,0.8
58,"mixed deterministic","sequence revealed","random first",45,"random",2,-216,0.8
58,"mixed deterministic","sequence revealed","random first",46,"random",6,360,0.8
58,"mixed deterministic","sequence revealed","random first",47,"random",4,72,0.8
58,"mixed deterministic","sequence revealed","random first",48,"random",5,216,0.8
58,"mixed deterministic","sequence revealed","random first",49,"random",6,360,0.7
58,"mixed deterministic","sequence revealed","random first",50,"random",2,-216,0.7
58,"mixed deterministic","sequence revealed","random first",51,"random",6,360,0.7
58,"mixed deterministic","sequence revealed","random first",52,"random",2,-216,0.7
58,"mixed deterministic","sequence revealed","random first",53,"random",5,216,0.7
58,"mixed deterministic","sequence revealed","random first",54,"random",4,72,0.7
58,"mixed deterministic","sequence revealed","random first",55,"random",2,-216,0.7
58,"mixed deterministic","sequence revealed","random first",56,"random",4,72,0.7
58,"mixed deterministic","sequence revealed","random first",57,"random",6,360,0.7
58,"mixed deterministic","sequence revealed","random first",58,"random",1,-360,0.7
58,"mixed deterministic","sequence revealed","random first",59,"random",4,72,0.7
58,"mixed deterministic","sequence revealed","random first",60,"random",5,216,0.7
58,"mixed deterministic","sequence revealed","random first",61,"random",2,-216,0.7
58,"mixed deterministic","sequence revealed","random first",62,"random",1,-360,0.7
58,"mixed deterministic","sequence revealed","random first",63,"random",2,-216,0.7
58,"mixed deterministic","sequence revealed","random first",64,"random",3,-72,0.7
