"sid","material","instructions","material_order","tid","block_scheme","stimulus_location","pos_x","response_deadline"
25,"mixed deterministic","sequence revealed","regular first",1,"regular",4,72,0.9
25,"mixed deterministic","sequence revealed","regular first",2,"regular",3,-72,0.9
25,"mixed deterministic","sequence revealed","regular first",3,"regular",5,216,0.9
25,"mixed deterministic","sequence revealed","regular first",4,"regular",1,-360,0.9
25,"mixed deterministic","sequence revealed","regular first",5,"regular",2,-216,0.9
25,"mixed deterministic","sequence revealed","regular first",6,"regular",6,360,0.9
25,"mixed deterministic","sequence revealed","regular first",7,"regular",4,72,0.9
25,"mixed deterministic","sequence revealed","regular first",8,"regular",3,-72,0.9
25,"mixed deterministic","sequence revealed","regular first",9,"regular",5,216,0.9
25,"mixed deterministic","sequence revealed","regular first",10,"regular",1,-360,0.9
25,"mixed deterministic","sequence revealed","regular first",11,"regular",2,-216,0.9
25,"mixed deterministic","sequence revealed","regular first",12,"regular",6,360,0.9
25,"mixed deterministic","sequence revealed","regular first",13,"regular",4,72,0.9
25,"mixed deterministic","sequence revealed","regular first",14,"regular",3,-72,0.9
25,"mixed deterministic","sequence revealed","regular first",15,"regular",5,216,0.9
25,"mixed deterministic","sequence revealed","regular first",16,"regular",1,-360,0.9
25,"mixed deterministic","sequence revealed","regular first",17,"regular",2,-216,0.9
25,"mixed deterministic","sequence revealed","regular first",18,"regular",6,360,0.9
25,"mixed deterministic","sequence revealed","regular first",19,"regular",4,72,0.9
25,"mixed deterministic","sequence revealed","regular first",20,"regular",3,-72,0.9
25,"mixed deterministic","sequence revealed","regular first",21,"regular",5,216,0.9
25,"mixed deterministic","sequence revealed","regular first",22,"regular",1,-360,0.9
25,"mixed deterministic","sequence revealed","regular first",23,"regular",2,-216,0.9
25,"mixed deterministic","sequence revealed","regular first",24,"regular",6,360,0.9
25,"mixed deterministic","sequence revealed","regular first",25,"regular",4,72,0.8
25,"mixed deterministic","sequence revealed","regular first",26,"regular",3,-72,0.8
25,"mixed deterministic","sequence revealed","regular first",27,"regular",5,216,0.8
25,"mixed deterministic","sequence revealed","regular first",28,"regular",1,-360,0.8
25,"mixed deterministic","sequence revealed","regular first",29,"regular",2,-216,0.8
25,"mixed deterministic","sequence revealed","regular first",30,"regular",6,360,0.8
25,"mixed deterministic","sequence revealed","regular first",31,"regular",4,72,0.8
25,"mixed deterministic","sequence revealed","regular first",32,"regular",3,-72,0.8
25,"mixed deterministic","sequence revealed","regular first",33,"regular",5,216,0.8
25,"mixed deterministic","sequence revealed","regular first",34,"regular",1,-360,0.8
25,"mixed deterministic","sequence revealed","regular first",35,"regular",2,-216,0.8
25,"mixed deterministic","sequence revealed","regular first",36,"regular",6,360,0.8
25,"mixed deterministic","sequence revealed","regular first",37,"regular",4,72,0.8
25,"mixed deterministic","sequence revealed","regular first",38,"regular",3,-72,0.8
25,"mixed deterministic","sequence revealed","regular first",39,"regular",5,216,0.8
25,"mixed deterministic","sequence revealed","regular first",40,"regular",1,-360,0.8
25,"mixed deterministic","sequence revealed","regular first",41,"regular",2,-216,0.8
25,"mixed deterministic","sequence revealed","regular first",42,"regular",6,360,0.8
25,"mixed deterministic","sequence revealed","regular first",43,"regular",4,72,0.8
25,"mixed deterministic","sequence revealed","regular first",44,"regular",3,-72,0.8
25,"mixed deterministic","sequence revealed","regular first",45,"regular",5,216,0.8
25,"mixed deterministic","sequence revealed","regular first",46,"regular",1,-360,0.8
25,"mixed deterministic","sequence revealed","regular first",47,"regular",2,-216,0.8
25,"mixed deterministic","sequence revealed","regular first",48,"regular",6,360,0.8
25,"mixed deterministic","sequence revealed","regular first",49,"regular",4,72,0.7
25,"mixed deterministic","sequence revealed","regular first",50,"regular",3,-72,0.7
25,"mixed deterministic","sequence revealed","regular first",51,"regular",5,216,0.7
25,"mixed deterministic","sequence revealed","regular first",52,"regular",1,-360,0.7
25,"mixed deterministic","sequence revealed","regular first",53,"regular",2,-216,0.7
25,"mixed deterministic","sequence revealed","regular first",54,"regular",6,360,0.7
25,"mixed deterministic","sequence revealed","regular first",55,"regular",4,72,0.7
25,"mixed deterministic","sequence revealed","regular first",56,"regular",3,-72,0.7
25,"mixed deterministic","sequence revealed","regular first",57,"regular",5,216,0.7
25,"mixed deterministic","sequence revealed","regular first",58,"regular",1,-360,0.7
25,"mixed deterministic","sequence revealed","regular first",59,"regular",2,-216,0.7
25,"mixed deterministic","sequence revealed","regular first",60,"regular",6,360,0.7
25,"mixed deterministic","sequence revealed","regular first",61,"regular",4,72,0.7
25,"mixed deterministic","sequence revealed","regular first",62,"regular",3,-72,0.7
25,"mixed deterministic","sequence revealed","regular first",63,"regular",5,216,0.7
25,"mixed deterministic","sequence revealed","regular first",64,"regular",1,-360,0.7
25,"mixed deterministic","sequence revealed","regular first",65,"regular",2,-216,0.7
25,"mixed deterministic","sequence revealed","regular first",66,"regular",6,360,0.7
25,"mixed deterministic","sequence revealed","regular first",67,"regular",4,72,0.7
25,"mixed deterministic","sequence revealed","regular first",68,"regular",3,-72,0.7
25,"mixed deterministic","sequence revealed","regular first",69,"regular",5,216,0.7
25,"mixed deterministic","sequence revealed","regular first",70,"regular",1,-360,0.7
25,"mixed deterministic","sequence revealed","regular first",71,"regular",2,-216,0.7
25,"mixed deterministic","sequence revealed","regular first",72,"regular",6,360,0.7
25,"mixed deterministic","sequence revealed","regular first",73,"regular",4,72,0.6
25,"mixed deterministic","sequence revealed","regular first",74,"regular",3,-72,0.6
25,"mixed deterministic","sequence revealed","regular first",75,"regular",5,216,0.6
25,"mixed deterministic","sequence revealed","regular first",76,"regular",1,-360,0.6
25,"mixed deterministic","sequence revealed","regular first",77,"regular",2,-216,0.6
25,"mixed deterministic","sequence revealed","regular first",78,"regular",6,360,0.6
25,"mixed deterministic","sequence revealed","regular first",79,"regular",4,72,0.6
25,"mixed deterministic","sequence revealed","regular first",80,"regular",3,-72,0.6
25,"mixed deterministic","sequence revealed","regular first",81,"regular",5,216,0.6
25,"mixed deterministic","sequence revealed","regular first",82,"regular",1,-360,0.6
25,"mixed deterministic","sequence revealed","regular first",83,"regular",2,-216,0.6
25,"mixed deterministic","sequence revealed","regular first",84,"regular",6,360,0.6
25,"mixed deterministic","sequence revealed","regular first",85,"regular",4,72,0.6
25,"mixed deterministic","sequence revealed","regular first",86,"regular",3,-72,0.6
25,"mixed deterministic","sequence revealed","regular first",87,"regular",5,216,0.6
25,"mixed deterministic","sequence revealed","regular first",88,"regular",1,-360,0.6
25,"mixed deterministic","sequence revealed","regular first",89,"regular",2,-216,0.6
25,"mixed deterministic","sequence revealed","regular first",90,"regular",6,360,0.6
25,"mixed deterministic","sequence revealed","regular first",91,"regular",4,72,0.6
25,"mixed deterministic","sequence revealed","regular first",92,"regular",3,-72,0.6
25,"mixed deterministic","sequence revealed","regular first",93,"regular",5,216,0.6
25,"mixed deterministic","sequence revealed","regular first",94,"regular",1,-360,0.6
25,"mixed deterministic","sequence revealed","regular first",95,"regular",2,-216,0.6
25,"mixed deterministic","sequence revealed","regular first",96,"regular",6,360,0.6
25,"mixed deterministic","sequence revealed","regular first",97,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",98,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",99,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",100,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",101,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",102,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",103,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",104,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",105,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",106,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",107,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",108,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",109,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",110,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",111,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",112,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",113,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",114,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",115,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",116,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",117,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",118,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",119,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",120,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",121,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",122,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",123,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",124,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",125,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",126,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",127,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",128,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",129,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",130,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",131,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",132,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",133,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",134,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",135,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",136,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",137,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",138,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",139,"regular",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",140,"regular",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",141,"regular",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",142,"regular",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",143,"regular",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",144,"regular",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",145,"random",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",146,"random",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",147,"random",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",148,"random",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",149,"random",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",150,"random",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",151,"random",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",152,"random",4,72,0.5
25,"mixed deterministic","sequence revealed","regular first",153,"random",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",154,"random",6,360,0.5
25,"mixed deterministic","sequence revealed","regular first",155,"random",3,-72,0.5
25,"mixed deterministic","sequence revealed","regular first",156,"random",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",157,"random",2,-216,0.5
25,"mixed deterministic","sequence revealed","regular first",158,"random",1,-360,0.5
25,"mixed deterministic","sequence revealed","regular first",159,"random",5,216,0.5
25,"mixed deterministic","sequence revealed","regular first",160,"random",4,72,0.5
